point,condition,reference,metric,mean_difference_condition_minus_p1,paired_seed_bootstrap_ci95_low,paired_seed_bootstrap_ci95_high,probability_condition_lower,seed_count,bootstrap_repetitions,training_condition,test_condition,design_role,claim_limit
Core,p0,p1,stress_critical_30_decision_cost_5_nine_family_mean,6.835334478957682,4.1781361088479505,9.056011138551472,0.0,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Core,p0,p1,stress_critical_30_decision_cost_10_nine_family_mean,14.418527118918366,8.333954892113528,19.490784235029935,0.0,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Asym,p0,p1,clean_rmse,0.39239652144514175,-0.6956196661456986,1.5953736739233508,0.284,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Asym,p0,p1,clean_lpr30,0.030188679245283033,-0.015094339622641506,0.07547169811320757,0.0847,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Asym,p0,p1,clean_signed_bias,0.4255712450992678,-1.286242802008506,2.1373852922070413,0.3146,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Asym,p0,p1,clean_critical30_signed_bias,-0.1811615253394505,-1.0033132692552964,0.6409902185763954,0.6618,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Asym,p0,p1,stress_rmse_nine_family_mean,0.7783713574617991,-0.09882243863334353,1.7091059458794675,0.0528,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Asym,p0,p1,stress_lpr30_nine_family_mean,0.010116002795248047,-0.0336484975541579,0.045988819007686886,0.3042,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Asym,p0,p1,stress_critical_30_signed_error_mean_nine_family_mean,0.4049961176785784,-0.536509583887814,1.3157655109491155,0.2478,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Asym,p0,p1,stress_critical_30_decision_cost_2_nine_family_mean,1.6406428665357573,0.5163379226371522,3.1463755883779005,0.0002,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Asym,p0,p1,stress_critical_30_decision_cost_5_nine_family_mean,3.6862818507500927,0.8793311444979132,6.280149185859268,0.0046,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Asym,p0,p1,stress_critical_30_decision_cost_10_nine_family_mean,7.095680157773984,1.4843198475991826,11.55741312646116,0.0046,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
