normalization,seed,q,epsilon_fraction,J,J_plus_1,J_plus_1_minus_J_delta_lpr
temperature,123,0.2,0.0,-0.04814578005115089,-0.04814578005115089,0.0
temperature,123,0.2,0.02,0.05931372549019609,0.05931372549019609,0.0
temperature,123,0.2,0.05,0.0,0.0,0.0
temperature,2024,0.05,0.0,-0.18055555555555558,-0.18055555555555558,0.0
temperature,2024,0.05,0.02,-0.05555555555555558,-0.05555555555555558,0.0
temperature,2024,0.05,0.05,-0.03472222222222221,0.02777777777777779,0.0625
temperature,2024,0.1,0.0,-0.10962566844919786,-0.10962566844919786,0.0
temperature,2024,0.1,0.02,-0.02623663101604279,-0.02623663101604279,0.0
temperature,2024,0.1,0.05,-0.01654411764705882,0.01470588235294118,0.03125
temperature,2024,0.2,0.0,-0.15721288515406162,-0.15721288515406162,0.0
temperature,2024,0.2,0.02,-0.01322007063695041,0.0034465960297162535,0.016666666666666663
temperature,2024,0.2,0.05,0.012425404944586528,0.029092071611253198,0.01666666666666667
temperature,2025,0.05,0.0,-0.05555555555555547,-0.05555555555555547,0.0
temperature,2025,0.05,0.02,-0.06944444444444445,-0.06944444444444445,0.0
temperature,2025,0.05,0.05,-0.0625,0.0,0.0625
temperature,2025,0.1,0.0,-0.13909313725490197,-0.13909313725490197,0.0
temperature,2025,0.1,0.02,-0.03308823529411764,-0.03308823529411764,0.0
temperature,2025,0.1,0.05,-0.03125,0.0,0.03125
temperature,2025,0.2,0.0,-0.16820728291316522,-0.16820728291316522,0.0
temperature,2025,0.2,0.02,-0.07504567044208987,-0.07504567044208987,0.0
temperature,2025,0.2,0.05,-0.04927536231884058,-0.03260869565217391,0.01666666666666667
temperature,2026,0.05,0.0,0.5833333333333333,0.5833333333333333,0.0
temperature,2026,0.05,0.02,0.5833333333333333,0.5833333333333333,0.0
temperature,2026,0.05,0.05,0.3611111111111111,0.3611111111111111,0.0
temperature,2026,0.1,0.0,0.5747549019607843,0.5747549019607843,0.0
temperature,2026,0.1,0.02,0.45343137254901955,0.45343137254901955,0.0
temperature,2026,0.1,0.05,0.19518716577540107,0.19518716577540107,0.0
temperature,2026,0.2,0.0,0.4034618195104128,0.4034618195104128,0.0
temperature,2026,0.2,0.02,0.3688740713676776,0.3569693094629156,-0.011904761904761973
temperature,2026,0.2,0.05,0.10084033613445378,0.10084033613445378,0.0
